No state file found — running full historical bootstrap
Fetching event list from ufcstats.com...
Found 773 events to process
[1/773] UFC 2: No Way Out (1994-03-11)  15 fights
[2/773] UFC 3: The American Dream (1994-09-09)  6 fights
[3/773] UFC 4: Revenge of the Warriors (1994-12-16)  10 fights
[4/773] UFC 5: The Return of the Beast (1995-04-07)    WARNING: unknown method 'Other 2' in UFC 5: The Return of the Beast — skipping fight Ken Shamrock vs Royce Gracie
9 fights
[5/773] UFC 6: Clash of the Titans (1995-07-14)  10 fights
[6/773] UFC 7: The Brawl in Buffalo (1995-09-08)    WARNING: unknown method 'Other 2' in UFC 7: The Brawl in Buffalo — skipping fight Ken Shamrock vs Oleg Taktarov
10 fights
[7/773] UFC - Ultimate Ultimate '95 (1995-12-16)  9 fights
[8/773] UFC 8: David vs Goliath (1996-02-16)  9 fights
[9/773] UFC 9: Motor City Madness (1996-05-17)  7 fights
[10/773] UFC 10: The Tournament (1996-07-12)  9 fights
[11/773] UFC 11: The Proving Ground (1996-09-20)  8 fights
[12/773] UFC - Ultimate Ultimate '96 (1996-12-07)  10 fights
[13/773] UFC 12: Judgement Day (1997-02-07)  9 fights
[14/773] UFC 13: The Ultimate Force (1997-05-30)  9 fights
[15/773] UFC 14: Showdown (1997-07-27)  9 fights
[16/773] UFC 15: Collision Course (1997-10-17)  7 fights
[17/773] UFC - Ultimate Japan (1997-12-21)  7 fights
[18/773] UFC 16: Battle in the Bayou (1998-03-13)  8 fights
[19/773] UFC 17: Redemption (1998-05-15)  9 fights
[20/773] UFC - Ultimate Brazil (1998-10-16)  8 fights
[21/773] UFC 18: The Road to the Heavyweight Title (1999-01-08)  7 fights
[22/773] UFC 19: Ultimate Young Guns (1999-03-05)  7 fights
[23/773] UFC 20: Battle for the Gold (1999-05-07)  7 fights
[24/773] UFC 21: Return of the Champions (1999-07-16)  8 fights
[25/773] UFC 22: Only One Can be Champion (1999-09-24)  8 fights
[26/773] UFC 23: Ultimate Japan 2 (1999-11-19)  7 fights
[27/773] UFC 24: First Defense (2000-03-10)  7 fights
[28/773] UFC 25: Ultimate Japan 3 (2000-04-14)  6 fights
[29/773] UFC 26: Ultimate Field Of Dreams (2000-06-09)  8 fights
[30/773] UFC 27: Ultimate Bad Boyz (2000-09-22)  8 fights
[31/773] UFC 28: High Stakes (2000-11-17)  7 fights
[32/773] UFC 29: Defense of the Belts (2000-12-16)  7 fights
[33/773] UFC 30: Battle on the Boardwalk (2001-02-23)  8 fights
[34/773] UFC 31: Locked and Loaded (2001-05-04)  8 fights
[35/773] UFC 32: Showdown in the Meadowlands (2001-06-29)  8 fights
[36/773] UFC 33: Victory in Vegas (2001-09-28)  8 fights
[37/773] UFC 34: High Voltage (2001-11-02)  8 fights
[38/773] UFC 35: Throwdown (2002-01-11)  8 fights
[39/773] UFC 36: Worlds Collide (2002-03-22)  8 fights
[40/773] UFC 37: High Impact (2002-05-10)  8 fights
[41/773] UFC 37.5: As Real As It Gets (2002-06-22)  6 fights
[42/773] UFC 38: Brawl at the Hall (2002-07-13)  7 fights
[43/773] UFC 39: The Warriors Return (2002-09-27)  8 fights
[44/773] UFC 40: Vendetta (2002-11-22)  8 fights
[45/773] UFC 41: Onslaught (2003-02-28)  8 fights
[46/773] UFC 42: Sudden Impact (2003-04-25)  8 fights
[47/773] UFC 43: Meltdown (2003-06-06)  8 fights
[48/773] UFC 44: Undisputed (2003-09-26)  9 fights
[49/773] UFC 45: Revolution (2003-11-21)  8 fights
[50/773] UFC 46: Supernatural (2004-01-31)  8 fights
[51/773] UFC 47: It's On! (2004-04-02)  8 fights
[52/773] UFC 48: Payback (2004-06-19)  8 fights
[53/773] UFC 49: Unfinished Business (2004-08-21)  8 fights
[54/773] UFC 50: The War Of '04 (2004-10-22)  7 fights
[55/773] UFC 51: Super Saturday (2005-02-05)  9 fights
[56/773] The Ultimate Fighter: Team Couture vs. Team Liddell Finale (2005-04-09)  9 fights
[57/773] UFC 52: Couture vs Liddell 2 (2005-04-16)  8 fights
[58/773] UFC 53: Heavy Hitters (2005-06-04)  8 fights
[59/773] UFC Fight Night 1 (2005-08-06)  8 fights
[60/773] UFC 54: Boiling Point (2005-08-20)  8 fights
[61/773] UFC Fight Night 2 (2005-10-03)  7 fights
[62/773] UFC 55: Fury (2005-10-07)  8 fights
[63/773] The Ultimate Fighter: Team Hughes vs. Team Franklin Finale (2005-11-05)  7 fights
[64/773] UFC 56: Full Force (2005-11-19)  8 fights
[65/773] UFC Fight Night 3 (2006-01-16)  8 fights
[66/773] UFC 57: Liddell vs Couture 3 (2006-02-04)  9 fights
[67/773] UFC 58: USA vs Canada (2006-03-04)  8 fights
[68/773] UFC Fight Night 4 (2006-04-06)  9 fights
[69/773] UFC 59: Reality Check (2006-04-15)  9 fights
[70/773] UFC 60: Hughes vs Gracie (2006-05-27)  9 fights
[71/773] The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale (2006-06-24)  9 fights
[72/773] UFC Fight Night 5 (2006-06-28)  9 fights
[73/773] UFC 61: Bitter Rivals (2006-07-08)  9 fights
[74/773] UFC Fight Night 6 (2006-08-17)  9 fights
[75/773] UFC 62: Liddell vs Sobral (2006-08-26)  9 fights
[76/773] UFC 63: Hughes vs Penn (2006-09-23)  9 fights
[77/773] Ortiz vs Shamrock 3: The Final Chapter (2006-10-10)  9 fights
[78/773] UFC 64: Unstoppable (2006-10-14)  8 fights
[79/773] The Ultimate Fighter: The Comeback Finale (2006-11-11)  8 fights
[80/773] UFC 65: Bad Intentions (2006-11-18)  9 fights
[81/773] UFC Fight Night: Sanchez vs Riggs (2006-12-13)  9 fights
[82/773] UFC 66: Liddell vs Ortiz 2 (2006-12-30)  9 fights
[83/773] UFC Fight Night: Evans vs Salmon (2007-01-25)  8 fights
[84/773] UFC 67: All or Nothing (2007-02-03)  9 fights
[85/773] UFC 68: The Uprising (2007-03-03)  9 fights
[86/773] UFC Fight Night: Stevenson vs Guillard (2007-04-05)  9 fights
[87/773] UFC 69: Shootout (2007-04-07)  9 fights
[88/773] UFC 70: Nations Collide (2007-04-21)  10 fights
[89/773] UFC 71: Liddell vs Jackson (2007-05-26)  9 fights
[90/773] UFC Fight Night: Stout vs Fisher (2007-06-12)  9 fights
[91/773] UFC 72: Victory (2007-06-16)  8 fights
[92/773] The Ultimate Fighter: Team Pulver vs. Team Penn Finale (2007-06-23)  9 fights
[93/773] UFC 73: Stacked (2007-07-07)  9 fights
[94/773] UFC 74: Respect (2007-08-25)  9 fights
[95/773] UFC 75: Champion vs Champion (2007-09-08)  9 fights
[96/773] UFC Fight Night: Thomas vs Florian (2007-09-19)  9 fights
[97/773] UFC 76: Knockout (2007-09-22)  9 fights
[98/773] UFC 77: Hostile Territory (2007-10-20)  9 fights
[99/773] UFC 78: Validation (2007-11-17)  9 fights
[100/773] The Ultimate Fighter: Team Hughes vs. Team Serra Finale (2007-12-08)  9 fights
[101/773] UFC 79: Nemesis (2007-12-29)  10 fights
[102/773] UFC 80: Rapid Fire (2008-01-19)  9 fights
[103/773] UFC Fight Night: Swick vs Burkman (2008-01-23)  9 fights
[104/773] UFC 81: Breaking Point (2008-02-02)  9 fights
[105/773] UFC 82: Pride of a Champion (2008-03-01)  10 fights
[106/773] UFC Fight Night: Florian vs Lauzon (2008-04-02)  12 fights
[107/773] UFC 83: Serra vs St-Pierre 2 (2008-04-19)  11 fights
[108/773] UFC 84: Ill Will (2008-05-24)  11 fights
[109/773] UFC 85: Bedlam (2008-06-07)  11 fights
[110/773] The Ultimate Fighter: Team Rampage vs Team Forrest Finale (2008-06-21)  10 fights
[111/773] UFC 86: Jackson vs Griffin (2008-07-05)  9 fights
[112/773] UFC: Silva vs Irvin (2008-07-19)  11 fights
[113/773] UFC 87: Seek And Destroy (2008-08-09)  10 fights
[114/773] UFC 88: Breakthrough (2008-09-06)  9 fights
[115/773] UFC Fight Night: Diaz vs Neer (2008-09-17)  10 fights
[116/773] UFC 89: Bisping vs Leben (2008-10-18)  11 fights
[117/773] UFC 90: Silva vs Cote (2008-10-25)  10 fights
[118/773] UFC 91: Couture vs Lesnar (2008-11-15)  9 fights
[119/773] UFC Fight Night - Fight for the Troops (2008-12-10)  10 fights
[120/773] The Ultimate Fighter: Team Nogueira vs. Team Mir Finale (2008-12-13)  10 fights
[121/773] UFC 92: The Ultimate 2008 (2008-12-27)  10 fights
[122/773] UFC 93: Franklin vs Henderson (2009-01-17)  10 fights
