,fighter_id,fighter,peak_elo,current_elo,fights,win_streak,weight_class,last_fight_date
1,jon_jones,Jon Jones,1079.2,1079.2,23,19,Heavyweight,2024-11-16
2,georges_stpierre,Georges Stpierre,1040.8,1040.8,22,13,Welterweight,2017-11-04
3,anderson_silva,Anderson Silva,1039.2,927.3,24,0,Middleweight,2020-10-31
4,islam_makhachev,Islam Makhachev,1028.9,1028.9,18,16,Welterweight,2025-11-15
5,kamaru_usman,Kamaru Usman,1018.5,986.4,19,1,Welterweight,2025-06-14
6,max_holloway,Max Holloway,1007.8,988.8,32,0,Lightweight,2026-03-07
7,donald_cerrone,Donald Cerrone,1005.6,893.1,37,0,Welterweight,2022-07-02
8,dustin_poirier,Dustin Poirier,1002.8,968.3,31,0,Lightweight,2025-07-19
9,tony_ferguson,Tony Ferguson,1002.4,876.9,24,0,Welterweight,2024-08-03
10,charles_oliveira,Charles Oliveira,997.7,997.7,36,2,Lightweight,2026-03-07
11,khabib_nurmagomedov,Khabib Nurmagomedov,994.5,994.5,13,13,Lightweight,2020-10-24
12,chuck_liddell,Chuck Liddell,994.3,912.6,23,0,Light Heavyweight,2010-06-12
13,demetrious_johnson,Demetrious Johnson,993.3,981.6,18,0,Flyweight,2018-08-04
14,amanda_nunes,Amanda Nunes,988.1,988.1,18,2,Women's Bantamweight,2023-06-10
15,matt_hughes,Matt Hughes,986.2,944.9,25,0,Welterweight,2011-09-24
16,francis_ngannou,Francis Ngannou,983.7,983.7,14,6,Heavyweight,2022-01-22
17,alexander_volkanovski,Alexander Volkanovski,983.5,970.6,18,2,Featherweight,2026-01-31
18,jon_fitch,Jon Fitch,979.0,957.9,18,0,,2013-02-02
19,demian_maia,Demian Maia,978.6,940.5,33,0,,2021-06-12
20,cain_velasquez,Cain Velasquez,975.5,956.1,15,0,Heavyweight,2019-02-17
21,junior_dos_santos,Junior Dos Santos,974.5,904.6,23,0,Heavyweight,2020-12-12
22,stipe_miocic,Stipe Miocic,973.6,945.8,19,0,Heavyweight,2024-11-16
23,joseph_benavidez,Joseph Benavidez,972.7,923.4,21,0,,2021-03-06
24,vicente_luque,Vicente Luque,970.7,930.4,25,1,Middleweight,2026-04-11
25,glover_teixeira,Glover Teixeira,968.7,932.7,23,0,Light Heavyweight,2023-01-21
26,aljamain_sterling,Aljamain Sterling,966.5,965.3,23,2,Featherweight,2026-04-25
27,israel_adesanya,Israel Adesanya,965.9,899.9,19,0,Middleweight,2026-03-28
28,leon_edwards,Leon Edwards,965.4,921.0,19,0,Welterweight,2025-11-15
29,merab_dvalishvili,Merab Dvalishvili,965.3,951.9,17,0,Bantamweight,2025-12-06
30,michael_bisping,Michael Bisping,964.2,936.3,29,0,Middleweight,2017-11-25
31,ilia_topuria,Ilia Topuria,964.0,964.0,9,9,Lightweight,2025-06-28
32,belal_muhammad,Belal Muhammad,961.9,936.2,20,0,Welterweight,2025-11-22
33,daniel_cormier,Daniel Cormier,961.8,935.2,14,0,,2020-08-15
34,royce_gracie,Royce Gracie,961.0,942.8,10,0,Lightweight,2006-05-27
35,derrick_lewis,Derrick Lewis,960.3,918.9,31,0,Heavyweight,2026-01-24
36,valentina_shevchenko,Valentina Shevchenko,959.5,959.5,19,3,Women's Flyweight,2025-11-15
37,rashad_evans,Rashad Evans,959.1,885.3,23,0,Light Heavyweight,2018-06-09
