fighter_id,mean_opp_elo,fights
melquizael_costa,918.4,1
arnold_allen,871.1,1
ketlen_vieira,869.8,1
dooho_choi,861.1,1
cody_brundage,851.0,1
jacqueline_cavalcanti,849.5,1
nikolay_veretennikov,846.2,1
daniel_santos,836.6,1
christian_edwards,827.4,1
juan_diaz,820.8,1
benardo_sopaj,809.1,1
tommy_gantt,800.0,1
malcolm_wellmaker,800.0,1
modestas_bukauskas,800.0,1
artur_minev,800.0,1
nicolle_caliari,799.8,1
polyana_viana,798.1,1
timmy_cuamba,791.7,1
khaos_williams,778.6,1
ivan_erslan,777.6,1
luis_gurule,775.6,1
alice_ardelean,764.1,1
shauna_bannon,763.7,1
andre_petroski,760.2,1
tuco_tokkos,755.4,1
daniel_barez,748.4,1
