,date,event,winner,loser,result,upset_prob,elo_winner_before,elo_loser_before
1,2007-05-26,UFC 71: Liddell vs Jackson,quinton_jackson,chuck_liddell,TKO,0.3397,821.1,994.3
2,2022-05-07,UFC 274: Oliveira vs. Gaethje,michael_chandler,tony_ferguson,TKO,0.3508,794.6,955.1
3,2020-05-09,UFC 249: Ferguson vs. Gaethje,justin_gaethje,tony_ferguson,TKO,0.3575,849.6,1002.4
4,2013-07-06,UFC 162: Silva vs Weidman,chris_weidman,anderson_silva,TKO,0.3594,888.5,1039.2
5,2019-05-11,UFC 237: Namajunas vs. Andrade,jared_cannonier,anderson_silva,TKO,0.362,815.2,962.9
6,2015-12-19,UFC on FOX: Dos Anjos vs. Cowboy 2,alistair_overeem,junior_dos_santos,TKO,0.3629,812.4,959.1
7,2009-04-18,UFC 97: Redemption,mauricio_rua,chuck_liddell,TKO,0.3645,804.3,949.2
8,2018-08-25,UFC Fight Night: Gaethje vs. Vick,justin_gaethje,james_vick,TKO,0.3651,787.2,931.4
9,2012-11-10,UFC Macao: Franklin vs Le,cung_le,rich_franklin,TKO,0.3679,794.2,935.2
10,2019-09-14,UFC Fight Night: Cowboy vs. Gaethje,justin_gaethje,donald_cerrone,TKO,0.368,829.3,970.2
11,2008-11-15,UFC 91: Couture vs Lesnar,brock_lesnar,randy_couture,TKO,0.3758,801.0,933.2
12,2010-02-20,UFC 110: Nogueira vs Velasquez,wanderlei_silva,michael_bisping,UD,0.3763,776.2,907.9
13,2007-09-22,UFC 76: Knockout,keith_jardine,chuck_liddell,SD,0.3771,836.9,967.7
14,2018-12-08,UFC 231: Holloway vs. Ortega,dhiego_lima,chad_laprise,TKO,0.378,731.5,861.2
15,2018-08-04,UFC 227: Dillashaw vs. Garbrandt 2,henry_cejudo,demetrious_johnson,SD,0.3782,863.8,993.3
16,2013-10-19,UFC 166: Velasquez vs Dos Santos 3,gilbert_melendez,diego_sanchez,UD,0.3802,789.0,916.3
17,2017-01-28,UFC on FOX: Shevchenko vs. Pena,jorge_masvidal,donald_cerrone,TKO,0.3806,878.7,1005.6
18,2023-07-29,UFC 291: Poirier vs. Gaethje 2,justin_gaethje,dustin_poirier,TKO,0.381,871.6,998.0
19,2025-12-13,UFC Fight Night: Royval vs. Kape,yaroslav_amosov,neil_magny,SUB,0.3818,800.0,925.6
20,2022-06-11,UFC 275: Teixeira vs. Prochazka,jiri_prochazka,glover_teixeira,SUB,0.3818,843.1,968.7
21,1997-07-27,UFC 14: Showdown,maurice_smith,mark_coleman,UD,0.3822,800.0,925.2
22,2009-01-17,UFC 93: Franklin vs Henderson,dan_henderson,rich_franklin,SD,0.3825,820.2,945.0
23,2016-08-20,UFC 202: Diaz vs. McGregor 2,lorenz_larkin,neil_magny,TKO,0.3826,795.9,920.6
24,2000-09-22,UFC 27: Ultimate Bad Boyz,fabiano_iha,laverne_clark,SUB,0.3827,759.8,884.4
25,2009-10-24,UFC 104: Machida vs Shogun,chael_sonnen,yushin_okami,UD,0.383,786.8,911.1
26,2010-05-08,UFC 113: Machida vs Shogun 2,mauricio_rua,lyoto_machida,TKO,0.3849,814.9,937.0
27,2016-07-07,UFC Fight Night: Dos Anjos vs. Alvarez,eddie_alvarez,rafael_dos_anjos,TKO,0.386,812.3,933.3
28,2013-02-02,UFC 156: Aldo vs Edgar,rogerio_nogueira,rashad_evans,UD,0.3869,826.6,946.6
29,2017-10-21,UFC Fight Night: Cerrone vs. Till,darren_till,donald_cerrone,TKO,0.3876,855.2,974.3
30,2012-01-28,UFC on FOX: Evans vs Davis,chael_sonnen,michael_bisping,UD,0.3879,822.9,941.8
31,2026-02-07,UFC Fight Night: Bautista vs. Oliveira,rizvan_kuniev,jailton_almeida,UD,0.3884,791.0,909.3
32,2011-08-14,UFC Live: Hardy vs Lytle,benson_henderson,jim_miller,UD,0.39,817.1,933.7
33,2009-02-21,UFC 95: Sanchez vs Stevenson,paulo_thiago,josh_koscheck,TKO,0.3904,800.0,916.1
